DISTRICT,YEAR,MONTH,FORTNIGHT,MEAN_TEMP,RAINFALL,HUMIDITY,WIND_SPEED
Ahmednagar,2019,1,1,21.311,0.0,21.396,1.5633333333333332
Ahmednagar,2019,1,2,20.8821875,0.0,30.519375,2.10375
Ahmednagar,2019,2,1,23.455333333333332,0.0,32.61266666666667,2.1646666666666667
Ahmednagar,2019,2,2,26.02269230769231,0.01,24.923076923076923,1.976153846153846
Ahmednagar,2019,3,1,26.352666666666664,0.0,27.612666666666666,2.214
Ahmednagar,2019,3,2,29.638125000000002,0.09,18.335625,2.084375
Ahmednagar,2019,4,1,31.8,1.89,22.34733333333333,2.3306666666666667
Ahmednagar,2019,4,2,32.07233333333333,0.42,23.14466666666667,2.8973333333333335
Ahmednagar,2019,5,1,31.121666666666666,0.0,35.30533333333334,3.6506666666666665
Ahmednagar,2019,5,2,33.09625,0.04,30.57375,3.756875
Ahmednagar,2019,6,1,32.260333333333335,11.5,46.524,4.148
Ahmednagar,2019,6,2,28.775666666666666,43.17,65.67333333333333,4.277333333333333
Ahmednagar,2019,7,1,26.820333333333334,35.5,75.982,5.304
Ahmednagar,2019,7,2,27.186875,59.9,75.84875,4.3725
Ahmednagar,2019,8,1,26.167,51.14,80.386,5.867333333333334
Ahmednagar,2019,8,2,26.7753125,40.620000000000005,75.20125,3.57375
Ahmednagar,2019,9,1,26.122,53.35,81.10466666666666,4.136
Ahmednagar,2019,9,2,25.966333333333335,110.29,81.69800000000001,2.3666666666666667
Ahmednagar,2019,10,1,25.351,54.62,78.468,1.7313333333333332
Ahmednagar,2019,10,2,23.82,136.16,84.914375,2.28375
Ahmednagar,2019,11,1,23.558333333333334,15.139999999999999,79.62266666666666,1.5659999999999998
Ahmednagar,2019,11,2,21.645000000000003,0.0,76.72,1.8233333333333335
Ahmednagar,2019,12,1,22.290999999999997,0.49000000000000005,74.066,1.88
Ahmednagar,2019,12,2,21.613125,0.66,72.3975,1.9725000000000001
Ahmednagar,2020,1,1,20.471,0.16,66.65333333333334,2.0473333333333334
Ahmednagar,2020,1,2,21.65,0.0,55.158125,1.850625
Ahmednagar,2020,2,1,23.086,0.33,49.316,2.195333333333333
Ahmednagar,2020,2,2,25.601785714285718,0.1,28.650000000000002,1.842857142857143
Ahmednagar,2020,3,1,25.396333333333335,1.69,39.089333333333336,2.6646666666666667
Ahmednagar,2020,3,2,29.3184375,18.58,35.02625,1.9637499999999999
Ahmednagar,2020,4,1,31.02566666666667,0.35000000000000003,27.637999999999998,1.9286666666666668
Ahmednagar,2020,4,2,32.632333333333335,0.24,25.986,2.3939999999999997
Ahmednagar,2020,5,1,32.933,13.04,32.291333333333334,2.630666666666667
Ahmednagar,2020,5,2,32.7275,1.3599999999999999,37.790625,3.8024999999999998
Ahmednagar,2020,6,1,27.359333333333336,119.49,70.358,3.296
Ahmednagar,2020,6,2,26.895000000000003,182.98,79.39,2.792666666666667
Ahmednagar,2020,7,1,26.2,70.57,81.28733333333334,4.115333333333333
Ahmednagar,2020,7,2,26.066250000000004,91.72,81.56375,2.506875
Ahmednagar,2020,8,1,25.878999999999998,77.31,84.00533333333333,4.612666666666667
Ahmednagar,2020,8,2,25.328125,47.83,84.8925,4.1
Ahmednagar,2020,9,1,26.376666666666665,137.75,82.10466666666666,1.6413333333333333
Ahmednagar,2020,9,2,24.924333333333337,96.82,87.50066666666666,2.296
Ahmednagar,2020,10,1,25.107666666666667,115.93,83.09200000000001,2.0433333333333334
Ahmednagar,2020,10,2,24.52,74.83,81.21625,1.565
Ahmednagar,2020,11,1,21.39,0.0,75.52866666666667,1.7526666666666666
Ahmednagar,2020,11,2,22.577666666666666,0.78,79.31733333333334,1.7886666666666668
Ahmednagar,2020,12,1,21.045333333333332,1.2100000000000002,70.70466666666667,1.5886666666666664
Ahmednagar,2020,12,2,19.842187499999998,0.0,66.811875,1.599375
Ahmednagar,2021,1,1,22.506999999999998,10.870000000000001,72.31333333333333,1.588
Ahmednagar,2021,1,2,22.6459375,0.0,54.766875,1.319375
Ahmednagar,2021,2,1,22.035,0.0,35.436,1.5606666666666666
Ahmednagar,2021,2,2,24.792307692307695,4.03,41.51384615384615,1.9738461538461538
Ahmednagar,2021,3,1,27.765666666666668,0.0,23.04733333333333,1.4033333333333333
Ahmednagar,2021,3,2,29.84875,2.22,23.7325,1.694375
Ahmednagar,2021,4,1,30.53966666666667,5.78,29.496666666666666,1.8840000000000001
Ahmednagar,2021,4,2,31.305333333333337,2.6399999999999997,27.732000000000003,2.010666666666667
Ahmednagar,2021,5,1,31.378666666666668,15.96,42.04666666666667,1.9386666666666665
Ahmednagar,2021,5,2,29.3525,47.24,62.845625,4.34
Ahmednagar,2021,6,1,28.063333333333333,77.13,72.11133333333333,3.462
Ahmednagar,2021,6,2,26.951666666666668,51.18,75.92399999999999,4.224666666666667
Ahmednagar,2021,7,1,26.951,55.65,75.99066666666666,3.2893333333333334
Ahmednagar,2021,7,2,26.3053125,53.45,79.5,5.54625
Ahmednagar,2021,8,1,27.124,5.2,73.47,4.1579999999999995
Ahmednagar,2021,8,2,25.616875,96.86,79.656875,2.748125
Ahmednagar,2021,9,1,25.64333333333333,109.12,83.80666666666666,3.5046666666666666
Ahmednagar,2021,9,2,25.355,102.28,82.82333333333332,2.746
Ahmednagar,2021,10,1,25.650666666666666,60.81,82.35266666666666,1.504
Ahmednagar,2021,10,2,23.1475,9.4,74.238125,1.8756249999999999
Ahmednagar,2021,11,1,22.647666666666666,4.02,76.85933333333334,2.1153333333333335
