CROP,DISTRICT,YEAR,MONTH,FORTNIGHT,MEAN_TEMP,RAINFALL,HUMIDITY,WIND_SPEED,TEMP_RISE,RAINFALL_DEV,HUMIDITY_DEV,WIND_EXCESS,TRIGGER,PERCENTAGE
Pomegranate,Ahmednagar,2022,6,1,30.261000000000003,24.2,54.36533333333333,3.740666666666667,0.0,25.8,0.6346666666666678,0.0,YES,1.0
Pomegranate,Ahmednagar,2022,6,2,27.28033333333333,140.86999999999998,72.91733333333333,3.51,0.7196666666666687,40.869999999999976,0.0,0.0,YES,1.0
Pomegranate,Ahmednagar,2022,7,1,25.494,104.51,82.69266666666665,5.622,0.5060000000000002,0.0,2.692666666666653,0.0,NO,0.0
Pomegranate,Ahmednagar,2022,7,2,25.751875,61.26,81.65625,3.685625,0.2481250000000017,0.0,1.65625,0.0,NO,0.0
Pomegranate,Ahmednagar,2022,8,1,25.354666666666667,120.23,83.79666666666667,4.546,0.6453333333333333,0.0,0.0,0.0,NO,0.0
Pomegranate,Ahmednagar,2022,8,2,25.669062500000003,28.25,80.635,3.63,0.3309374999999974,41.75,0.0,0.0,YES,1.0
Pomegranate,Ahmednagar,2022,9,1,25.80933333333333,133.56,84.59733333333334,2.3006666666666664,1.1906666666666688,33.56,9.59733333333334,0.0,YES,1.0
Pomegranate,Ahmednagar,2022,9,2,24.72833333333333,62.5,84.28933333333333,2.832666666666667,2.2716666666666683,0.0,9.289333333333332,0.0,YES,0.25
Pomegranate,Ahmednagar,2022,10,1,24.60033333333333,88.72,84.64,2.3406666666666665,0.3996666666666684,8.719999999999999,14.64,0.0,NO,0.0
Pomegranate,Ahmednagar,2022,10,2,22.2115625,53.68,77.61375,2.033125,2.788437500000001,0.0,7.613749999999996,0.0,YES,0.0
Pomegranate,Ahmednagar,2022,11,1,21.215333333333334,0.0,74.43266666666666,1.7706666666666666,0.0,20.0,9.432666666666664,0.0,NO,0.0
Pomegranate,Ahmednagar,2022,11,2,20.203,0.01,73.32733333333334,1.6426666666666667,0.0,19.99,8.327333333333343,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,6,1,31.441333333333333,10.3,48.828,4.568666666666667,0.0,39.7,6.171999999999997,0.0,YES,1.0
Pomegranate,Ahmednagar,2023,6,2,28.904,34.69,62.79600000000001,5.3966666666666665,0.0,15.310000000000002,0.0,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,7,1,26.76833333333333,81.14,77.40933333333334,4.646,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,7,2,26.0796875,75.03,80.900625,5.77125,0.0,0.0,0.9006250000000051,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,8,1,26.395333333333333,10.83,76.41066666666667,5.042666666666666,0.0,59.17,0.0,0.0,YES,1.0
Pomegranate,Ahmednagar,2023,8,2,27.020625000000003,14.86,73.350625,3.86375,0.0,55.14,0.0,0.0,YES,1.0
Pomegranate,Ahmednagar,2023,9,1,27.01533333333333,42.42,75.16866666666667,3.8766666666666665,0.0,7.579999999999998,0.1686666666666667,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,9,2,26.312,120.45,80.96466666666667,2.8146666666666667,0.6879999999999988,20.450000000000003,5.964666666666673,0.0,YES,1.0
Pomegranate,Ahmednagar,2023,10,1,25.824666666666666,16.240000000000002,71.86466666666666,1.998,0.0,13.759999999999998,1.8646666666666647,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,10,2,25.0984375,0.46,62.39125,1.830625,0.0,29.54,0.0,0.0,YES,1.0
Pomegranate,Ahmednagar,2023,11,1,24.567,5.3100000000000005,64.43066666666667,1.8193333333333328,0.0,14.69,0.0,0.0,NO,0.0
Pomegranate,Ahmednagar,2023,11,2,24.34433333333333,34.29,62.592666666666666,2.0126666666666666,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2019,6,1,37.20633333333333,12.1,30.28,3.859333333333333,3.2063333333333333,37.9,24.72,0.0,YES,1.0
Pomegranate,Amravati,2019,6,2,32.116,87.24000000000001,57.288,3.412,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2019,7,1,27.872666666666667,67.45,78.26666666666667,4.299333333333333,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2019,7,2,28.2890625,225.34,78.36125,3.619375,0.0,105.34,0.0,0.0,YES,1.0
Pomegranate,Amravati,2019,8,1,25.89033333333333,157.84,88.49733333333333,4.048666666666667,0.1096666666666692,27.840000000000003,3.49733333333333,0.0,YES,0.75
Pomegranate,Amravati,2019,8,2,26.0246875,101.61,87.34,2.94875,0.0,0.0,2.3400000000000034,0.0,NO,0.0
Pomegranate,Amravati,2019,9,1,25.826666666666668,120.79,91.132,3.136,1.173333333333332,20.790000000000006,16.132000000000005,0.0,YES,1.0
Pomegranate,Amravati,2019,9,2,25.889666666666667,133.97,89.556,1.8413333333333333,1.1103333333333332,33.97,14.555999999999996,0.0,YES,1.0
Pomegranate,Amravati,2019,10,1,24.946,4.22,81.562,1.3586666666666667,0.0539999999999984,25.78,11.561999999999998,0.0,YES,1.0
Pomegranate,Amravati,2019,10,2,23.69625,64.59,86.91375,1.719375,1.3037500000000009,0.0,16.913749999999993,0.0,YES,0.25
Pomegranate,Amravati,2019,11,1,22.95133333333333,9.08,82.00133333333333,1.322,0.0,10.92,17.001333333333335,0.0,YES,1.0
Pomegranate,Amravati,2019,11,2,20.705666666666666,0.0,79.20266666666666,1.3833333333333333,0.0,20.0,14.20266666666666,0.0,NO,0.0
Pomegranate,Amravati,2020,6,1,29.467,110.12,65.18599999999999,3.170666666666667,0.0,10.120000000000005,0.0,0.0,NO,0.0
Pomegranate,Amravati,2020,6,2,29.166666666666664,74.12,73.18933333333332,2.42,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2020,7,1,28.124,158.89,80.16933333333333,2.522666666666667,0.0,38.88999999999999,0.1693333333333271,0.0,YES,1.0
Pomegranate,Amravati,2020,7,2,27.4365625,138.6,83.3375,1.650625,0.0,18.599999999999994,3.3375000000000057,0.0,NO,0.0
Pomegranate,Amravati,2020,8,1,26.991666666666667,155.03,86.64533333333334,2.9066666666666667,0.0,25.03,1.6453333333333404,0.0,YES,0.75
Pomegranate,Amravati,2020,8,2,25.7828125,167.01,89.90875,3.21625,0.2171875000000014,37.00999999999999,4.908749999999998,0.0,YES,1.0
Pomegranate,Amravati,2020,9,1,26.86233333333333,73.91,83.18533333333333,1.1486666666666667,0.1376666666666715,0.0,8.185333333333332,0.0,NO,0.0
Pomegranate,Amravati,2020,9,2,26.60033333333333,68.41,86.93066666666667,1.7066666666666666,0.3996666666666684,0.0,11.930666666666667,0.0,NO,0.0
Pomegranate,Amravati,2020,10,1,25.584666666666667,29.89,84.234,1.7786666666666666,0.0,0.1099999999999994,14.233999999999996,0.0,NO,0.0
Pomegranate,Amravati,2020,10,2,25.010625,11.2,75.809375,1.206875,0.0,18.8,5.809375000000003,0.0,NO,0.0
Pomegranate,Amravati,2020,11,1,21.457666666666665,0.0,68.33066666666667,1.594,0.0,20.0,3.330666666666673,0.0,NO,0.0
Pomegranate,Amravati,2020,11,2,22.447333333333333,5.619999999999999,70.79933333333334,1.808,0.0,14.38,5.799333333333337,0.0,NO,0.0
Pomegranate,Amravati,2021,6,1,29.956666666666663,152.22,66.09866666666667,3.1686666666666667,0.0,52.22,0.0,0.0,YES,1.0
Pomegranate,Amravati,2021,6,2,27.712666666666667,65.5,78.04066666666667,3.4133333333333336,0.2873333333333328,0.0,3.040666666666666,0.0,NO,0.0
Pomegranate,Amravati,2021,7,1,28.642333333333333,99.58,75.908,2.508,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2021,7,2,27.0559375,163.70000000000002,84.253125,3.631875,0.0,43.70000000000002,4.253124999999997,0.0,YES,1.0
Pomegranate,Amravati,2021,8,1,26.483,12.14,82.82466666666666,2.9513333333333334,0.0,57.86,0.0,0.0,YES,1.0
Pomegranate,Amravati,2021,8,2,26.8259375,149.39,85.258125,2.125,0.0,19.389999999999983,0.2581250000000068,0.0,NO,0.0
Pomegranate,Amravati,2021,9,1,26.50933333333333,231.0,88.30466666666666,2.1526666666666667,0.4906666666666694,131.0,13.304666666666662,0.0,YES,1.0
Pomegranate,Amravati,2021,9,2,26.311666666666664,98.66,87.89933333333333,2.0466666666666664,0.6883333333333361,0.0,12.899333333333333,0.0,NO,0.0
Pomegranate,Amravati,2021,10,1,26.303666666666665,73.34,80.81866666666666,1.058,0.0,0.0,10.818666666666658,0.0,NO,0.0
Pomegranate,Amravati,2021,10,2,22.55125,38.31,75.576875,1.590625,2.4487500000000004,0.0,5.576875000000001,0.0,YES,0.5
Pomegranate,Amravati,2021,11,1,21.22733333333333,0.1,77.358,1.6133333333333333,0.0,19.9,12.358000000000004,0.0,NO,0.0
Pomegranate,Amravati,2021,11,2,22.837333333333333,7.57,77.42466666666665,1.7773333333333334,0.0,12.43,12.424666666666653,0.0,NO,0.0
Pomegranate,Amravati,2022,6,1,34.40566666666667,33.48,38.304,4.1626666666666665,0.4056666666666686,16.520000000000003,16.695999999999998,0.0,YES,0.75
Pomegranate,Amravati,2022,6,2,28.67,135.89,75.55066666666667,2.35,0.0,35.889999999999986,0.5506666666666717,0.0,YES,1.0
