district,crop,season,sum_insured_per_hectare,actuarial_rate_percent,farmer_share_percent,total_premium,farmer_premium,govt_premium
Thane,Cashew,Rabi,100000.0,40.0,5.0,40000.0,5000.0,35000.0
Thane,Mango,Rabi,140000.0,30.0,5.0,42000.0,7000.0,35000.0
Wardha,Banana - Tissue Culture,Rabi,140000.0,22.0,5.0,30800.0,7000.0,23800.0
Wardha,Mosambi (sweet orange),Rabi,80000.0,25.0,5.0,20000.0,4000.0,16000.0
Wardha,Orange,Rabi,80000.0,20.0,5.0,16000.0,4000.0,12000.0
Washim,Mango,Rabi,140000.0,15.0,5.0,21000.0,7000.0,14000.0
Washim,Orange,Rabi,80000.0,15.0,5.0,12000.0,4000.0,8000.0
Washim,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Yavatmal,Banana - Tissue Culture,Rabi,140000.0,27.5,5.0,38500.0,7000.0,31500.0
Yavatmal,Orange,Rabi,80000.0,15.0,5.0,12000.0,4000.0,8000.0
